sample,species_confirmed,Latitude,Longitude,leaf_age,biological_rep,site_revised,date
T187,agaodo,-43.03746,146.27668,old,2,TAS_Red_Knoll,150307
T181,agaodo,-43.03746,146.27668,new,1,TAS_Red_Knoll,150307
T191,agaodo,-43.03746,146.27668,old,3,TAS_Red_Knoll,150307
T192,agaodo,-43.03746,146.27668,sen,3,TAS_Red_Knoll,150307
T184,agaodo,-43.03746,146.27668,sen,1,TAS_Red_Knoll,150307
T188,agaodo,-43.03746,146.27668,sen,2,TAS_Red_Knoll,150307
YG017,angcos,-32.78244,150.92318,new,1,NSW_Yengo_N,140419
YG018,angcos,-32.78244,150.92318,mid,1,NSW_Yengo_N,140419
YG019,angcos,-32.78244,150.92318,old,1,NSW_Yengo_N,140419
YG016,angcos,-32.78244,150.92318,sen,1,NSW_Yengo_N,140419
YG082,angcos,-32.78244,150.92318,new,2,NSW_Yengo_N,140525
YG080,angcos,-32.78244,150.92318,old,2,NSW_Yengo_N,140525
YG081,angcos,-32.78244,150.92318,mid,2,NSW_Yengo_N,140525
YG079,angcos,-32.78244,150.92318,sen,2,NSW_Yengo_N,140525
YG078,angcos,-32.78244,150.92318,sen,2,NSW_Yengo_N,140525
YG122,angcos,-32.78244,150.92318,sen,3,NSW_Yengo_N,140607
YG125,angcos,-32.78244,150.92318,new,3,NSW_Yengo_N,140608
YG123,angcos,-32.78244,150.92318,old,3,NSW_Yengo_N,140608
YG124,angcos,-32.78244,150.92318,mid,3,NSW_Yengo_N,140608
KG103,angcos,-33.67856,151.14825,new,1,NSW_Kuringai_bottom,140612
KG102,angcos,-33.67856,151.14825,mid,1,NSW_Kuringai_bottom,140612
KG101,angcos,-33.67856,151.14825,old,1,NSW_Kuringai_bottom,140612
KG100,angcos,-33.67856,151.14825,sen,1,NSW_Kuringai_bottom,140612
KG121,angcos,-33.67856,151.14825,old,2,NSW_Kuringai_bottom,140613
