sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2
T369,105.8034621,22116.34813
T255,88.67044688,10747.49951
QL261,129.7666882,25084.33206
T131,78.60347779,25960.52595
RH038,153.2134787,42830.2044
T364,62.80123201,13262.29261
RH036,80.76649656,24128.79037
KG041,105.5712626,21909.74521
YG089,136.2472715,18060.012
RH087,81.20528599,26049.59859
RH091,66.39619198,15633.56815
QL299,39.97025219,8824.475882
QL277,62.55890448,10495.52301
T178,76.96278285,20262.48678
QL063,110.8791881,20510.80836
QL350,50.87535054,15309.10074
QL016,98.73990807,9334.080299
T111,60.81902547,15542.03944
QL087,85.85267277,19277.1988
QL355,69.34360972,15452.56021
T076,45.13752312,12767.68532
QL460,54.61221575,18812.61094
T215,53.82281979,11998.49556
QL346,55.78995292,13573.95328
QL283,77.27179794,17903.40765
T025,62.51670491,21437.26947
QL295,48.36943919,11851.12382
T268,33.87649295,6525.116679
QL013,114.1655083,9800.305191
T039,38.06360658,15217.24591
RH026,64.29218412,40276.41004
RH028,64.98501374,37086.13375
QL038,37.1080723,4686.586117
YG111,86.46002264,18744.36026
QL289,74.41356954,17262.56085
KG059,82.21256389,11034.18674
T095,80.55518376,24189.5798
YG176,55.84495545,9978.547737
QL178,60.80370991,19702.95738
T360,39.66047821,4966.298047
T276,59.86493106,12123.11661
QL040,84.82438965,9605.389687
QL022,150.0522964,9103.068924
RH068,68.07258758,16505.97398
QL176,94.98652335,31879.54926
QL462,40.43048499,14333.42168
QL341,70.23700637,18225.19841
YG165,61.37904246,11893.00123
T091,79.76633635,28001.29737
QL028,87.01107605,8458.818549
QL248,76.05174732,14639.8448
T357,37.32036714,5771.910724
T074,63.32121826,14357.2324
T189,45.02595877,14402.9804
T193,69.18479225,12350.31961
QL035,91.28513417,10399.57621
QL337,89.43983998,21987.56593
RH072,56.54645114,15331.5233
T264,44.25425631,9709.336419
YG208,66.40132642,18777.18374
QL202,80.35948906,16425.95438
T284,60.91705242,14648.60823
QL287,65.45571481,18852.46654
KG125,76.19409476,12699.90888
T239,76.91058287,21044.16261
QL034,105.7016673,12655.52742
T079,67.32635318,21737.0048
