sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2,percent_ovalb_of_total_protein
QL093,38.68566488,6852.194736,0.36416929
T265,15.09143119,3874.335585,0.647086861
T269,12.45181991,2721.323117,0.919511989
T273,15.70679354,3432.207287,0.72825278
KG005,65.40295082,13626.90821,0.18275763
RH090,131.2229083,24348.48649,0.102974116
T369,105.8034621,22116.34813,0.113387489
T255,88.67044688,10747.49951,0.231903376
QL261,129.7666882,25084.33206,0.099946157
T131,78.60347779,25960.52595,0.096150033
RH038,153.2134787,42830.2044,0.058761329
T364,62.80123201,13262.29261,0.188644271
RH036,80.76649656,24128.79037,0.104136397
KG041,105.5712626,21909.74521,0.113226983
YG089,136.2472715,18060.012,0.138468874
RH087,81.20528599,26049.59859,0.096366151
RH091,66.39619198,15633.56815,0.159618558
QL299,39.97025219,8824.475882,0.28255629
QL277,62.55890448,10495.52301,0.23914046
T178,76.96278285,20262.48678,0.124365038
QL063,110.8791881,20510.80836,0.122372484
QL350,50.87535054,15309.10074,0.16296352
QL016,98.73990807,9334.080299,0.267413137
T111,60.81902547,15542.03944,0.161720981
QL087,85.85267277,19277.1988,0.129163185
QL355,69.34360972,15452.56021,0.1613471
T076,45.13752312,12767.68532,0.196313876
QL460,54.61221575,18812.61094,0.133638005
T215,53.82281979,11998.49556,0.208113833
QL346,55.78995292,13573.95328,0.183993625
QL283,77.27179794,17903.40765,0.139061491
T025,62.51670491,21437.26947,0.116364328
QL295,48.36943919,11851.12382,0.210495231
T268,33.87649295,6525.116679,0.384794385
QL013,114.1655083,9800.305191,0.255839255
T039,38.06360658,15217.24591,0.164311239
RH026,64.29218412,40276.41004,0.062110509
RH028,64.98501374,37086.13375,0.067411702
QL038,37.1080723,4686.586117,0.53449737
YG111,86.46002264,18744.36026,0.133618622
QL289,74.41356954,17262.56085,0.145190223
