sample_number,species_field,species_confirmed,Latitude,Longitude,leaf_age,biological_rep,site_revised,date
YG063,acapar,acapar,-32.78244,150.92318,new,2,NSW_Yengo_N,140524
YG062,acapar,acapar,-32.78244,150.92318,old,2,NSW_Yengo_N,140524
YG101,acapar,acapar,-32.78244,150.92318,mid,3,NSW_Yengo_N,140607
YG100,acapar,acapar,-32.78244,150.92318,new,3,NSW_Yengo_N,140607
YG099,acapar,acapar,-32.78244,150.92318,old,3,NSW_Yengo_N,140607
T083,acaric,acaric,-42.91482,147.24619,mid,1,TAS_The_Springs,150303
T082,acaric,acaric,-42.91482,147.24619,new,1,TAS_The_Springs,150303
T084,acaric,acaric,-42.91482,147.24619,old,1,TAS_The_Springs,150303
T086,acaric,acaric,-42.91482,147.24619,mid,2,TAS_The_Springs,150303
T085,acaric,acaric,-42.91482,147.24619,new,2,TAS_The_Springs,150303
T087,acaric,acaric,-42.91482,147.24619,old,2,TAS_The_Springs,150303
T089,acaric,acaric,-42.91482,147.24619,mid,3,TAS_The_Springs,150303
T088,acaric,acaric,-42.91482,147.24619,new,3,TAS_The_Springs,150303
T090,acaric,acaric,-42.91482,147.24619,old,3,TAS_The_Springs,150303
KG015,acasua,acasua,-33.6933,151.14541,mid,1,NSW_Kuringai_top,140603
KG016,acasua,acasua,-33.6933,151.14541,new,1,NSW_Kuringai_top,140603
KG014,acasua,acasua,-33.6933,151.14541,old,1,NSW_Kuringai_top,140603
KG013,acasua,acasua,-33.6933,151.14541,sen,1,NSW_Kuringai_top,140603
KG046,acasua,acasua,-33.6933,151.14541,mid,2,NSW_Kuringai_top,140604
KG047,acasua,acasua,-33.6933,151.14541,new,2,NSW_Kuringai_top,140604
KG045,acasua,acasua,-33.6933,151.14541,old,2,NSW_Kuringai_top,140604
KG044,acasua,acasua,-33.6933,151.14541,sen,2,NSW_Kuringai_top,140604
KG070,acasua,acasua,-33.6933,151.14541,mid,3,NSW_Kuringai_top,140611
KG071,acasua,acasua,-33.6933,151.14541,new,3,NSW_Kuringai_top,140611
KG069,acasua,acasua,-33.6933,151.14541,old,3,NSW_Kuringai_top,140611
KG068,acasua,acasua,-33.6933,151.14541,sen,3,NSW_Kuringai_top,140611
T299,acater,acater,-42.12261,148.34306,mid,1,TAS_Freycinet,150311
T298,acater,acater,-42.12261,148.34306,new,1,TAS_Freycinet,150311
T300,acater,acater,-42.12261,148.34306,old,1,TAS_Freycinet,150311
T302,acater,acater,-42.12261,148.34306,mid,2,TAS_Freycinet,150311
T301,acater,acater,-42.12261,148.34306,new,2,TAS_Freycinet,150311
T303,acater,acater,-42.12261,148.34306,old,2,TAS_Freycinet,150311
T305,acater,acater,-42.12261,148.34306,mid,3,TAS_Freycinet,150311
T304,acater,acater,-42.12261,148.34306,new,3,TAS_Freycinet,150311
T306,acater,acater,-42.12261,148.34306,old,3,TAS_Freycinet,150311
KG004,acauli,acauli,-33.6933,151.14541,mid,1,NSW_Kuringai_top,140529
KG005,acauli,acauli,-33.6933,151.14541,new,1,NSW_Kuringai_top,140529
KG003,acauli,acauli,-33.6933,151.14541,old,1,NSW_Kuringai_top,140529
